package, benchmark, threads, input-size, branch-instructions, branch-miss-percentage, L3-cache-misses, L3-cache-miss-percentage, L3-cache-references, cpu-cycles, total-instructions, IPC, cpu-clock, page-faults, L1-data-cache-loads, L1-instruction-cache-load-misses , LLC-load-misses, Exe-time, Speedup,u1,u2
parsec,blackscholes,18,simmedium,529075494,210.98,17469217,3.3,14504626,15.509,93520927,5536102839,2972700081,0.54,2507.71,136570,1338803822,47757560,14628199,0.141,4.234042553
parsec,blackscholes,19,simmedium,538089382,211.895,17745852,3.3,15160382,15.59,97243806,5571060298,2960561967,0.53,2539.41,136842,1347725290,47492154,14396550,0.137,4.357664234
parsec,blackscholes,20,simmedium,532701385,206.67,17933568,3.37,15306177,15.694,97526417,5661294803,2975602828,0.53,2577.54,136748,1348303874,48183375,14971936,0.139,4.294964029
parsec,blackscholes,21,simmedium,538461359,213.692,17513288,3.25,14781132,15.446,95692798,5590931740,2987654498,0.53,2519.8,136759,1350137827,46339738,14872090,0.126,4.738095238
parsec,blackscholes,22,simmedium,521562948,203.695,17878797,3.43,15625235,16.498,94709868,5600919384,3086471871,0.55,2560.51,136413,1384799535,46538978,15348905,0.131,4.557251908
parsec,blackscholes,23,simmedium,539430321,211.553,17547073,3.25,15031439,16.103,93344962,5620305657,3004068217,0.53,2549.86,136693,1370004338,46169888,15045502,0.135,4.422222222
parsec,blackscholes,24,simmedium,532749406,210.54,17478541,3.28,14415990,15.171,95024486,5525837630,3051409334,0.55,2530.39,136762,1389508936,47111301,14532843,0.135,4.422222222
parsec,blackscholes,25,simmedium,519067491,206.94,17541749,3.38,14291131,14.798,96572023,5523043106,2923852422,0.53,2508.3,136925,1342176660,46429502,13867258,0.126,4.738095238
parsec,blackscholes,26,simmedium,540905405,213.647,17359535,3.21,14935766,15.475,96517910,5592449411,2977333858,0.53,2531.77,136715,1360119485,48866434,14740693,0.125,4.776
parsec,blackscholes,27,simmedium,523454486,207.47,17802107,3.4,13303278,14.138,94096746,5567814030,2957478620,0.53,2523.04,136753,1341843538,46477634,13928623,0.142,4.204225352
parsec,blackscholes,28,simmedium,539147477,207.734,18014282,3.34,15573697,16.25,95835515,5679560240,3038271930,0.53,2595.37,136714,1387613515,46608174,14937911,0.13,4.592307692
parsec,blackscholes,29,simmedium,536114939,206.792,17623809,3.29,15907528,16.343,97334812,5680511642,2998655818,0.53,2592.53,136784,1364892671,46057654,14484102,0.13,4.592307692
parsec,blackscholes,30,simmedium,545404416,214.129,17481717,3.21,15388216,15.699,98020691,5610590684,2915237592,0.52,2547.08,136412,1349577502,46590349,14790174,0.121,4.933884298
parsec,blackscholes,31,simmedium,533322451,207.734,17460724,3.27,15674708,16.071,97534384,5681492123,2994029513,0.53,2567.34,136835,1357723450,46541793,14725536,0.124,4.814516129
parsec,blackscholes,32,simmedium,527388850,200.832,17438203,3.31,15402810,16.075,95818433,5725438886,2996977878,0.52,2626.02,136953,1362775167,47042101,14706514,0.144,4.145833333
parsec,blackscholes,33,simmedium,538623702,212.231,17316578,3.21,14924829,15.794,94497524,5580628105,2960997662,0.53,2537.91,136754,1349666549,47219818,14879905,0.132,4.522727273
parsec,blackscholes,34,simmedium,613435902,284.6,15275386,2.49,11783953,14.958,78781412,4935493905,3022653330,0.61,2155.43,136799,1410516408,31773041,12360231,0.083,7.192771084
parsec,blackscholes,35,simmedium,564669723,237.137,17296823,3.06,12044469,13.324,90398702,5359407096,3087138102,0.58,2381.19,136862,1411991065,37721486,10514788,0.118,5.059322034
parsec,blackscholes,36,simmedium,580226298,240.588,17472934,3.01,11883361,13.45,88353670,5424903766,3169288154,0.58,2411.7,136753,1436265828,39111394,10939632,0.101,5.910891089
parsec,blackscholes,37,simmedium,535345020,210.548,17687598,3.3,13859418,15.036,92172706,5579548636,3024145142,0.54,2542.63,136777,1368856568,46444313,14340395,0.126,4.738095238
parsec,blackscholes,38,simmedium,537413094,213.25,17466954,3.25,14161359,15.307,92513745,5541044833,2990498220,0.54,2520.11,136800,1372121966,47323185,14195334,0.127,4.700787402
parsec,blackscholes,39,simmedium,552585759,208.758,17475905,3.16,14748014,15.586,94621480,5775860855,3042038381,0.53,2647.02,136546,1394249685,50254604,15655822,0.13,4.592307692
parsec,blackscholes,40,simmedium,529874457,208.35,17467993,3.3,15500321,15.605,99329785,5562019243,3049638214,0.55,2543.19,136732,1371461227,44129029,14260744,0.121,4.933884298
parsec,blackscholes,64,simmedium,550353670,209.666,17501472,3.18,15652392,15.765,99288143,5767891070,2950143080,0.51,2624.91,136845,1356750820,46684075,14857561,0.107,5.579439252
parsec,blackscholes,128,simmedium,531345644,207.104,16615149,3.13,15058325,15.103,99704826,5643716096,2974269782,0.53,2565.6,136591,1371553142,46462231,14523237,0.115,5.191304348
parsec,blackscholes,1,simlarge,985953864,227.544,22644204,2.3,15491922,12.539,123551353,9618859051,6428814330,0.67,4333.03,137978,2603396654,52732123,14823569,2.486,1
parsec,blackscholes,2,simlarge,983757501,225.705,22513716,2.29,16024670,12.888,124334606,9656286959,6337038092,0.66,4358.61,137948,2569467445,52812192,15698910,1.379,1.80275562
parsec,blackscholes,3,simlarge,959372191,221.32,22353984,2.33,16486168,13.154,125329240,9582563064,6391092194,0.67,4334.77,137688,2575977132,52722654,15549075,1.04,2.390384615
parsec,blackscholes,4,simlarge,964373163,222.221,21965658,2.28,16322838,13.255,123146585,9555171868,6431999148,0.67,4339.71,137011,2596926608,50003059,15405779,0.861,2.887340302
parsec,blackscholes,5,simlarge,967335718,219.804,22313446,2.31,15902397,12.906,123220639,9684733449,6403860732,0.66,4400.9,137070,2585328188,53829882,15944552,0.807,3.080545229
parsec,blackscholes,6,simlarge,979383160,223.721,22071074,2.25,16572394,13.469,123040515,9600607015,6471787517,0.67,4377.7,137118,2610169106,52232237,15190311,0.693,3.587301587
parsec,blackscholes,7,simlarge,1356978084,305.806,22431401,1.65,11961695,10.377,115266458,10167138224,7332524400,0.72,4437.38,137490,3106509960,41564818,11453096,0.647,3.842349304
parsec,blackscholes,8,simlarge,982216063,239.745,21639249,2.2,12318782,10.733,114775607,9278444607,6643428929,0.72,4096.92,137101,2643835588,41861978,11937845,0.58,4.286206897
parsec,blackscholes,9,simlarge,1206850953,271.77,21691758,1.8,12073979,10.614,113752888,9985849650,7041685871,0.71,4440.71,137510,2953243290,43552590,11231482,0.548,4.53649635
parsec,blackscholes,10,simlarge,972155851,219.19,22810110,2.35,14980975,12.397,120844063,9815848937,6619221887,0.67,4435.21,137059,2641738328,49893039,14785135,0.469,5.300639659
parsec,blackscholes,11,simlarge,1148683607,244.391,22825615,1.99,16267152,12.467,130481003,10321226634,6987792122,0.68,4700.2,137814,2879584656,53437162,14874117,0.576,4.315972222
parsec,blackscholes,12,simlarge,971766553,216.142,22577741,2.32,15323819,12.16,126018399,9899165695,6363214876,0.64,4495.97,137473,2578734623,51037433,14107675,0.56,4.439285714
parsec,blackscholes,13,simlarge,966042556,216.666,22947169,2.38,14988245,11.977,125143351,9778726220,6450680204,0.66,4458.67,137092,2605784836,52848227,14581659,0.533,4.664165103
parsec,blackscholes,14,simlarge,980069527,214.01,23331751,2.38,15409106,11.982,128600534,10029659715,6420865618,0.64,4579.55,137444,2598505589,56638605,14712931,0.559,4.447227191
parsec,blackscholes,15,simlarge,1089528368,232.963,22563010,2.07,15108266,12.03,125590688,10318398252,6743088307,0.65,4676.82,137561,2751685728,50905859,15035980,0.637,3.90266876
parsec,blackscholes,16,simlarge,973480793,216.41,22710307,2.33,15677902,12.388,126555628,9880933480,6435085223,0.65,4498.32,137738,2586226820,53300535,15358651,0.556,4.471223022
parsec,blackscholes,18,simlarge,963067280,218.146,22264876,2.31,15488407,12.654,122400181,9670965315,6490754210,0.67,4414.77,136985,2595510146,51591273,15330770,0.531,4.68173258
parsec,blackscholes,19,simlarge,990603999,223.435,22296365,2.25,15490097,12.321,125719051,9758771140,6449724986,0.66,4433.53,137613,2603825424,53221501,14731960,0.486,5.115226337
parsec,blackscholes,20,simlarge,970800348,215.002,22457945,2.31,16361221,13.073,125154021,9930024289,6497230196,0.65,4515.3,137747,2605356744,52703982,15513644,0.508,4.893700787
parsec,blackscholes,21,simlarge,989001174,218.168,22842355,2.31,15592468,12.805,121768960,10023628655,6549361745,0.65,4533.21,136965,2642011596,51670574,15373170,0.486,5.115226337
parsec,blackscholes,22,simlarge,952664940,220.786,22568061,2.37,14298442,11.777,121409906,9497313763,6479249124,0.68,4314.88,137744,2597880104,50401307,14413920,0.519,4.789980732
parsec,blackscholes,23,simlarge,963504560,217.458,22525709,2.34,15054594,12.038,125063503,9770564319,6487842677,0.66,4430.77,137314,2619009911,52037822,14435325,0.488,5.094262295
parsec,blackscholes,24,simlarge,1093381999,286.23,20306496,1.86,11385995,10.717,106245037,8950823961,6674722582,0.75,3819.94,137446,2732270418,34003003,11589424,0.427,5.822014052
parsec,blackscholes,25,simlarge,982768686,234.543,21542477,2.19,12070123,10.725,112544278,9359370151,6472090185,0.69,4190.14,137529,2614845627,42294895,11823752,0.409,6.078239609
parsec,blackscholes,26,simlarge,1062802431,246.557,21317603,2.01,11249450,9.981,112708415,9686811722,6697757857,0.69,4310.58,137464,2721925512,43918886,11213072,0.405,6.138271605
parsec,blackscholes,27,simlarge,995041459,224.386,22340742,2.25,13912900,11.598,119964365,9816719844,6574197542,0.67,4434.51,137273,2654269918,48844930,13604790,0.325,7.649230769
parsec,blackscholes,28,simlarge,962403393,220.266,22340973,2.32,14943629,12.278,121712071,9595412005,6446145389,0.67,4369.27,136830,2573058018,52066391,15524419,0.492,5.052845528
parsec,blackscholes,29,simlarge,998973866,224.316,21840397,2.19,15678566,12.892,121612315,9826038407,6566225225,0.67,4453.42,137607,2665604597,50896906,14423066,0.425,5.849411765
parsec,blackscholes,30,simlarge,992542314,225.582,22065952,2.22,15413392,12.365,124655735,9629548824,6416934619,0.67,4399.91,137195,2587913561,51345370,14948203,0.503,4.942345924
parsec,blackscholes,31,simlarge,998717241,224.318,22654247,2.27,16010198,12.871,124388599,9735214645,6508836523,0.67,4452.25,137255,2626650351,53240586,15237721,0.491,5.063136456
parsec,blackscholes,32,simlarge,1002901980,219.778,23073170,2.3,16899717,13.408,126043217,10060605511,6630065194,0.66,4563.24,137588,2671374824,53550333,16406117,0.488,5.094262295
parsec,blackscholes,33,simlarge,980851100,224.187,22282731,2.27,14660065,12.19,120265588,9606297162,6450385159,0.67,4375.14,137641,2584265524,49898369,14055752,0.485,5.125773196
parsec,blackscholes,34,simlarge,975469794,220.104,21963548,2.25,15974254,12.875,124071746,9714451979,6497411092,0.67,4431.85,137274,2624323086,51520853,15024294,0.441,5.637188209
parsec,blackscholes,35,simlarge,970000718,216.046,22506974,2.32,16075310,12.809,125499087,9848957532,6413981764,0.65,4489.79,137841,2595994716,51244469,15139996,0.512,4.85546875
parsec,blackscholes,36,simlarge,961546457,219.962,22493075,2.34,15489719,12.746,121527519,9636784798,6427230309,0.67,4371.41,137551,2581819825,51239523,15075725,0.464,5.357758621
parsec,blackscholes,37,simlarge,967350159,217.48,22396309,2.32,16265882,12.828,126797423,9788657352,6459173494,0.66,4447.99,137451,2591438886,49795072,14998160,0.454,5.475770925
parsec,blackscholes,38,simlarge,975745952,219.795,22347553,2.29,15842271,12.678,124954056,9775080042,6493080053,0.66,4439.35,137577,2605554418,50952320,15051129,0.455,5.463736264
parsec,blackscholes,39,simlarge,1029368920,228.349,22552376,2.19,15900393,12.629,125904537,9931663838,6637143250,0.67,4507.87,137614,2680838946,52407081,15477216,0.483,5.14699793
parsec,blackscholes,40,simlarge,978235830,217.834,22649131,2.32,15884821,12.817,123938526,9795860424,6495237288,0.66,4490.74,137222,2605827501,53134026,15652526,0.465,5.346236559
parsec,blackscholes,64,simlarge,987426396,237.708,20974374,2.12,11052650,9.968,110880298,9245751293,6430923366,0.7,4153.94,137662,2621558688,40377661,9925342,0.314,7.917197452
parsec,blackscholes,128,simlarge,999551873,228.643,21711752,2.17,11989822,10.435,114899178,9718724396,6503444248,0.67,4371.66,137784,2656886502,45107419,11371073,0.357,6.963585434
parsec,bodytrack,1,simsmall,511766794,224.613,17063540,3.33,11269080,11.679,96489221,5175245317,3010613813,0.58,2278.44,138962,1337183583,42852656,12036224,0.461,1
